,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
145769,73153,Natalia Madaj,F,28.0,175.0,68.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,Gold
145817,73175,"Elizabeth ""Beezie"" Madden (Patton-)",F,52.0,168.0,63.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
145906,73221,Tianna Madison-Bartoletta,F,30.0,168.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
145907,73221,Tianna Madison-Bartoletta,F,30.0,168.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,Gold
145963,73250,Frederik Rodenberg Madsen,M,18.0,187.0,73.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
146010,73264,Mark Overgaard Madsen,M,31.0,177.0,80.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
146037,73280,Kingsley Madu,M,20.0,171.0,79.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
146144,73336,Mihaela Maevska,F,25.0,172.0,54.0,Bulgaria,BUL,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
146372,73453,James Magnussen,M,25.0,198.0,94.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
146508,73525,Kentin Mah,M,25.0,186.0,83.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
146729,73645,Leonie Rebekka Maier,F,23.0,163.0,62.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
146796,73683,Sandrine Mainville,F,24.0,173.0,65.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
146984,73764,Rafa Majka,M,26.0,173.0,61.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",Bronze
147098,73822,Yekaterina Valeryevna Makarova,F,28.0,176.0,65.0,Russia-2,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,Gold
147153,73857,Taoufik Makhloufi,M,28.0,170.0,67.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,Silver
147154,73857,Taoufik Makhloufi,M,28.0,170.0,67.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Silver
147285,73925,Anastasiya Ivanovna Maksimova,F,25.0,170.0,50.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
147347,73952,Hedaya Ahmad Malak Wahba,F,23.0,174.0,57.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,Bronze
147525,74029,Tijana Maleevi,F,25.0,185.0,78.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver
147624,74069,Sakshi Malik,F,23.0,162.0,58.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
147826,74181,"Alexandra Maria ""Alex"" Maloney",F,24.0,158.0,56.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Silver
147979,74264,Mariya Ruslanovna Mamoshuk,F,23.0,163.0,65.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Middleweight, Freestyle",Silver
147990,74270,Margarita Abdullayevna Mamun,F,20.0,170.0,50.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
148032,74294,Florent Manaudou,M,25.0,199.0,99.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Silver
148033,74294,Florent Manaudou,M,25.0,199.0,99.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
148153,74340,Duan Mandi,M,22.0,202.0,105.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
148782,74621,Panagiotis Mantis,M,34.0,180.0,65.0,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Bronze
148812,74635,Huriana Manuel,F,29.0,166.0,65.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
148816,74639,Simone Ashley Manuel,F,20.0,178.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,Silver
148817,74639,Simone Ashley Manuel,F,20.0,178.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,Gold
148818,74639,Simone Ashley Manuel,F,20.0,178.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
148819,74639,Simone Ashley Manuel,F,20.0,178.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
148844,74654,Gyuzel Tagirovna Manyurova,F,38.0,174.0,75.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Silver
148885,74678,Mao Yi,F,16.0,151.0,35.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Bronze
149091,74782,Katy Louise Marchant,F,23.0,170.0,72.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Sprint,Bronze
149382,74929,Igor Mareni,M,30.0,173.0,70.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Gold
149385,74930,Yekaterina Aleksandrovna Marennikova,F,34.0,176.0,70.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
149412,74942,Cyrille Maret,M,28.0,189.0,108.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,Bronze
149423,74950,Melanie Margalis,F,24.0,173.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
149540,75010,Arthur Nory Oyakawa Mariano,M,22.0,169.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
149622,75045,Carolina Mara Marn Marn,F,23.0,172.0,65.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Singles,Gold
149953,75202,Stefan Markovi,M,28.0,199.0,96.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Silver
150122,75285,Helen Louise Maroulis,F,24.0,163.0,57.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Gold
150133,75293,Dzsenifer Marozsn,F,24.0,171.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
150193,75337,"Marcos ""Marquinhos"" Aos Corra",M,22.0,185.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
150566,75551,Damir Martin,M,28.0,189.0,97.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Silver
151136,75850,Yurberjen Herney Martnez Rivas,M,24.0,165.0,49.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,Silver
151288,75926,Simon Martirosyan,M,19.0,181.0,105.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,Silver
151299,75934,Anita Mrton,F,27.0,172.0,95.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Bronze
151383,75981,Kei Marumo,F,24.0,160.0,50.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
151705,76132,Vladimir Anatolyevich Maslennikov,M,21.0,171.0,73.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
151863,76218,Kylie Jacqueline Masse,F,20.0,173.0,61.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,Bronze
151888,76226,Kelly Massey,F,31.0,178.0,57.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
151896,76230,Alexander Chen Massialas,M,22.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",Silver
151897,76230,Alexander Chen Massialas,M,22.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Bronze
151919,76242,Luca Masso,M,22.0,186.0,82.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
152076,76329,Viliame Sevaka Mata,M,24.0,196.0,106.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
152198,76398,Diana Beverly Matheson,F,32.0,153.0,54.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
152216,76407,Courtney Lynn Kaiulani  Mathewson,F,29.0,171.0,69.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
152266,76433,Michael Walter Mathieu,M,32.0,178.0,76.0,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
152547,76551,Takeshi Matsuda,M,32.0,184.0,84.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
152606,76576,Kaori Matsumoto,F,28.0,163.0,57.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,Bronze
152706,76625,Misaki Matsutomo,F,24.0,160.0,50.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Doubles,Gold
152741,76644,Bethanie Lynn Mattek-Sands,F,31.0,168.0,66.0,United States-2,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Mixed Doubles,Gold
152809,76682,Peter Matthews,M,26.0,188.0,84.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
152897,76735,Sofia Magdalena Mattsson,F,26.0,164.0,56.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Bronze
153143,76871,Marie Mvers,F,25.0,170.0,67.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
153222,76898,Philipp Max,M,22.0,177.0,76.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
153402,76987,Kvin Mayer,M,24.0,186.0,77.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Silver
153708,77139,Agustn Alejandro Mazzilli,M,27.0,173.0,77.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
153743,77152,Piotr Maachowski,M,33.0,193.0,130.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,Silver
153843,77223,Kayla McAlister,F,27.0,169.0,70.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
153928,77276,Shona Clare McCallin,F,24.0,165.0,69.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
153993,77314,Eliza McCartney,F,19.0,179.0,66.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,Bronze
154097,77366,Ruaridh Lawson McConnochie,M,24.0,190.0,93.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
154136,77390,Francena Lynette McCorory,F,27.0,171.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
154143,77394,Angel Lajuane McCoughtry,F,29.0,185.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
154313,77475,Rusheen McDonald,M,23.0,175.0,81.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
154384,77505,Cameron McEvoy,M,22.0,185.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
154385,77505,Cameron McEvoy,M,22.0,185.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
154867,77716,Emma McKeon,F,22.0,180.0,60.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,Bronze
154868,77716,Emma McKeon,F,22.0,180.0,60.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
154869,77716,Emma McKeon,F,22.0,180.0,60.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
154871,77716,Emma McKeon,F,22.0,180.0,60.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
154882,77721,Taylor McKeown,F,21.0,178.0,65.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
154989,77784,Anneisha McLaughlin-Whilby,F,30.0,170.0,65.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
155260,77942,Stephenie Ann McPherson,F,27.0,173.0,57.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
155274,77950,Tony McQuay,M,26.0,181.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
155284,77955,James McRae,M,29.0,193.0,93.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
155391,78005,Anna Maree Devenish Meares,F,32.0,165.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Keirin,Bronze
155395,78006,"Christopher James ""Chris"" Mears",M,23.0,172.0,70.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Gold
155624,78119,Molly Meech,F,23.0,178.0,74.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Silver
155625,78120,Sam Meech,M,25.0,183.0,81.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Bronze
155661,78140,Robert Meeuwsen,M,28.0,207.0,92.0,Netherlands-1,NED,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
155879,78267,"Catherine Michelle ""Katie"" Meili",F,25.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
155880,78267,"Catherine Michelle ""Katie"" Meili",F,25.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
155906,78281,Gerek Lin Meinhardt,M,26.0,183.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Bronze
156035,78347,Mahiedine Mekhissi-Benabbad,M,31.0,190.0,75.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
156195,78441,Bektemir Ruzmatzhonovich Melikuziyev,M,20.0,177.0,75.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,Silver
156326,78508,Angelina Romanovna Melnikova,F,16.0,151.0,44.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Silver
156698,78716,Meng Suping,F,27.0,173.0,123.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold
156749,78735,Joaqun Menini,M,24.0,182.0,76.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
157035,78875,Florin Mergea,M,31.0,180.0,76.0,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,Silver
157266,78964,LaShawn Merritt,M,30.0,191.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,Bronze
157267,78964,LaShawn Merritt,M,30.0,191.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
157584,79112,Mehdy Metella,M,24.0,190.0,90.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
157823,79224,Maximilian Meyer,M,20.0,173.0,60.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
157885,79256,Boaz Cornelius Meylink,M,32.0,195.0,93.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
157888,79258,William Meynard,M,29.0,190.0,85.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
158047,79345,Meredith T. Michaels-Beerbaum,F,46.0,162.0,51.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
158080,79362,Monika Ewa Michalik (Rogien-),F,36.0,167.0,63.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze
158459,79541,Clment Mignon,M,23.0,187.0,75.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
158496,79561,Brankica Mihajlovi,F,25.0,190.0,83.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver
158591,79607,"John Michael Nchekwube Obinna ""John Mikel Obi"" Mikel",M,29.0,179.0,86.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
158768,79714,Beata Mikoajczyk,F,30.0,170.0,68.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
159156,79881,Cody Miller,M,24.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
159157,79881,Cody Miller,M,24.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
159268,79938,Shaunae Miller (-Uibo),F,22.0,185.0,69.0,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,Gold
159337,79976,Hannah Louise Mills,F,28.0,157.0,50.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Gold
159400,80002,Stephen Milne,M,22.0,185.0,76.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
159475,80039,Jelena Milovanovi,F,27.0,190.0,84.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Bronze
159618,80107,Gor Minasyan,M,21.0,180.0,140.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
159852,80204,Jevaughn Minzie,M,21.0,178.0,85.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
160013,80294,Nikola Miroti Stajovi,M,25.0,208.0,100.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
160088,80332,Taras Viktorovych Mishchuk,M,21.0,187.0,85.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
160240,80404,Ethan Mitchell,M,25.0,180.0,83.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Silver
160309,80439,Tom Mitchell,M,27.0,178.0,85.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
160387,80483,Branislav Mitrovi,M,31.0,201.0,100.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
160390,80485,Stefan Mitrovi,M,28.0,195.0,91.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
160423,80499,Risako Mitsui,F,22.0,168.0,57.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
160424,80499,Risako Mitsui,F,22.0,168.0,57.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
160454,80507,Anja Mittag,F,31.0,168.0,58.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
160584,80571,Hiromi Miyake,F,30.0,145.0,48.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Bronze
160738,80655,Jun Mizutani,M,27.0,172.0,63.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,Bronze
160739,80655,Jun Mizutani,M,27.0,172.0,63.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Silver
161323,80970,Lourdes Mohedano Snchez de Mora,F,21.0,173.0,53.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
161565,81109,Kayla Moleschi,F,25.0,159.0,65.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
161585,81117,Mari Kristine Sbstad Molid,F,25.0,178.0,73.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
162303,81491,Telma Alexandra Pinto Monteiro,F,30.0,161.0,57.0,Portugal,POR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,Bronze
162497,81588,Domenico Montrone,M,30.0,189.0,97.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
162647,81671,Maya April Moore,F,27.0,183.0,79.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
162767,81739,Sohrab Moradi,M,27.0,170.0,97.0,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
163394,82020,David Morgan,M,22.0,184.0,82.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
163921,82271,Sandi Morris,F,24.0,173.0,62.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,Silver
164022,82327,Casper Ulrich Mortensen,M,26.0,190.0,88.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Gold
164286,82465,Lus Javier Mosquera Lozano,M,21.0,165.0,64.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,Bronze
164306,82474,Estelle Mossely,F,23.0,168.0,60.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Lightweight,Gold
164811,82763,Nora Mrk,F,25.0,168.0,63.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
164991,82859,Beslan Zaudinovich Mudranov,M,30.0,166.0,60.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,Gold
165085,82900,Dalilah Muhammad,F,26.0,173.0,55.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,Gold
165087,82901,Ibtihaj Muhammad,F,30.0,170.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze
165089,82902,Lutalo Massop-Muhammad,M,25.0,191.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight,Silver
165100,82908,Usman Edu Muhammed,M,22.0,169.0,78.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
